lineid,pointid,theOrder,dist,row,newid,591demorigi,xcoord,ycoord
"3","5083",0.7403729731,0.9313177785,"44","430",763.0339965800,348065,7396955
"3","531",0.7402160479,0.3651180238,"5","429",739.5980224600,345385,7398345
"3","4460",0.7395391925,2.4401658878,"39","428",755.4660034200,347815,7397415
"3","1197",0.7354251421,0.7217610752,"12","427",742.5380249000,346045,7398065
"3","4250",0.7325633633,1.8833165602,"37","426",752.1329956100,347615,7397635
"3","3743",0.7324975304,0.0388206071,"32","425",754.1320190400,347405,7397855
"3","725",0.7276778997,0.0465781692,"7","424",742.7910156200,345655,7398185
"3","3141",0.7269593575,0.4109382302,"29","423",749.2299804700,347255,7397985
"3","2326",0.7477498151,1.0893283414,"21","438",746.0150146500,346705,7398075
"3","774",0.7450431483,1.7856973673,"8","437",742.0780029300,345735,7398165
"3","269",0.7442765016,0.8250912215,"2","436",737.5549926800,345055,7398525
"3","1134",0.7438304317,0.1116578973,"11","435",741.9550170900,345905,7398115
"3","6085",0.7426963225,0.0961364032,"50","434",764.8850097700,348275,7396545
"3","6133",0.7425770262,0.1063866948,"51","433",766.4219970700,348395,7396295
"3","1389",0.7421517328,0.2449429502,"14","432",744.2719726600,346275,7398055
"3","2773",0.7414438773,0.5589848488,"25","431",749.3259887700,346985,7398065
"3","3142",0.7625988745,1.9834206915,"29","446",748.7160034200,347245,7397985
"3","4462",0.7617699490,0.6146359502,"39","445",758.3610229500,347815,7397425
"3","533",0.7576646644,0.7002132126,"5","444",739.5549926800,345375,7398345
"3","5086",0.7559773820,0.1668429558,"44","443",759.9130249000,348065,7396965
"3","3745",0.7557649946,1.1598368774,"32","442",753.3079834000,347395,7397855
"3","4252",0.7533375390,0.9824554160,"37","441",756.6970214800,347615,7397645
"3","2945",0.7479485662,0.1871632376,"27","440",752.6840210000,347125,7398025
"3","4758",0.7478026609,2.0075049069,"42","439",758.3829956100,347935,7397215
"3","532",0.7781124084,0.8748563936,"5","454",743.4390258800,345375,7398355
"3","2325",0.7773127875,1.3219354381,"21","453",749.6560058600,346695,7398075
"3","4254",0.7720271676,1.8892124681,"37","452",752.3670043900,347605,7397645
